TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,DEF_RATING,DREB,DREB_PCT,STL,BLK,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,DEF_RATING_RANK,DREB_RANK,DREB_PCT_RANK,STL_RANK,BLK_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,GAME_DATE
1610612754,Indiana Pacers,65,39,26,0.6,3140.0,107.7,2211,0.721,470,334,951.0,845.0,883.0,3094.0,4,11,11,11,7,7,19,22,22,11,4,16,19,15,03/10/2020
1610612746,LA Clippers,64,44,20,0.688,3087.0,106.6,2368,0.734,456,318,1076.0,788.0,889.0,2872.0,14,4,4,4,24,5,4,13,23,16,14,9,20,6,03/10/2020
1610612747,Los Angeles Lakers,63,49,14,0.778,3034.0,105.5,2239,0.734,541,430,1074.0,768.0,1057.0,2900.0,29,2,2,2,30,3,14,12,5,1,13,5,29,7,03/10/2020
1610612763,Memphis Grizzlies,65,32,33,0.492,3125.0,109.9,2357,0.73,520,363,1193.0,913.0,952.0,3012.0,4,14,14,14,12,15,5,17,11,5,27,27,23,13,03/10/2020
1610612748,Miami Heat,64,41,23,0.641,3117.0,109.0,2316,0.758,472,286,1148.0,784.0,737.0,2846.0,14,7,7,7,14,14,8,2,21,23,24,8,2,5,03/10/2020
1610612749,Milwaukee Bucks,65,53,12,0.815,3130.0,101.6,2745,0.776,480,390,1058.0,722.0,879.0,2520.0,4,1,1,1,11,1,1,1,19,3,12,2,18,1,03/10/2020
1610612750,Minnesota Timberwolves,64,19,45,0.297,3112.0,111.6,2193,0.731,555,362,1137.0,865.0,833.0,3278.0,14,28,25,28,15,21,21,16,3,6,22,21,12,24,03/10/2020
1610612740,New Orleans Pelicans,64,28,36,0.438,3102.0,111.6,2290,0.731,486,328,1234.0,873.0,1017.0,3394.0,14,18,17,18,17,20,9,15,18,14,28,22,28,28,03/10/2020
1610612752,New York Knicks,65,20,45,0.308,3140.0,112.3,2233,0.743,490,304,1147.0,816.0,835.0,2836.0,4,25,25,25,7,23,15,7,15,18,23,11,14,4,03/10/2020
1610612760,Oklahoma City Thunder,64,40,24,0.625,3092.0,108.4,2213,0.728,487,321,1007.0,808.0,669.0,3118.0,14,9,9,9,22,9,17,20,17,15,8,10,1,17,03/10/2020
