Game_ID,PTS,Player_PPG_last_5,Player_PPG_so_far,DEF_RATING,DEF_RATING_RANK,MIN_Model_Player,MIN_Factor_Teammate,Factor_Teammate_Yes,Factor_Teammate_miss_streak,Starters_PPG_last_5,Bench_PPG_last_5,forward1_def_rating,forward2_def_rating,guard1_def_rating,guard2_def_rating,center_def_rating,guard_off_avg,forward_center_off_avg
22000212,19,23.8,24.655172413793103,110.2,19,38.0,37.0,True,0,32.4,46.4,115.5,104.4,102.5,108.8,140.0,105.05000000000001,114.15
22000187,21,25.0,24.785714285714285,108.6,10,31.0,33.0,True,0,30.4,45.4,129.4,122.4,109.8,119.5,134.9,138.05,127.15
22000170,26,25.0,24.74074074074074,110.2,18,27.0,25.0,True,0,28.8,38.4,147.9,132.0,130.9,134.9,122.4,137.60000000000002,127.15
22000161,26,24.2,24.692307692307693,111.1,22,29.0,29.0,True,0,28.0,38.6,138.8,150.0,126.2,131.7,138.9,141.45,131.1
22000146,18,25.8,24.96,110.9,21,30.0,30.0,True,0,29.0,32.4,113.6,120.5,103.5,125.0,121.7,116.05,118.39999999999999
22000131,28,24.0,24.833333333333332,114.8,27,34.0,0.0,False,0,26.6,32.0,123.1,112.7,120.8,129.0,118.4,120.30000000000001,136.0
22000615,25,24.2,25.28205128205128,113.9,26,31.0,0.0,False,18,37.8,48.4,120.0,123.7,134.9,134.9,132.1,134.8,122.6
22000608,22,26.6,25.36842105263158,109.6,7,30.0,0.0,False,19,37.4,41.6,112.1,110.0,112.1,132.3,108.0,112.75,116.15
22000585,18,32.2,25.56756756756757,110.7,13,34.0,0.0,False,20,39.2,41.0,95.9,90.5,98.6,91.5,96.6,88.4,93.95
22000542,38,28.0,25.22222222222222,108.6,6,38.0,0.0,False,22,41.4,40.6,115.9,106.9,117.9,104.2,114.3,109.15,104.35
22000527,19,25.8,25.05263157894737,108.5,5,24.0,0.0,False,23,39.8,35.8,122.2,138.7,122.0,122.0,192.3,119.45,124.55
22000512,28,26.2,24.88888888888889,115.8,28,36.0,0.0,False,24,41.8,35.4,97.5,97.0,109.5,98.5,102.9,111.6,89.75
22000497,19,26.8,25.235294117647058,106.8,2,28.0,0.0,False,25,39.2,37.6,88.5,90.4,89.8,103.8,103.8,104.15,101.69999999999999
22000479,31,26.2,24.875,113.8,26,43.0,0.0,False,26,33.0,35.6,112.5,94.7,111.6,108.3,117.6,101.2,103.2
22000463,19,27.4,25.266666666666666,109.7,8,37.0,0.0,False,27,32.2,39.2,97.0,95.2,96.3,93.7,101.4,101.65,100.95
22000446,32,26.6,24.785714285714285,114.2,25,33.0,0.0,False,28,32.2,44.2,96.6,123.7,102.7,104.5,110.4,105.45,100.3
22000431,30,27.2,24.384615384615383,112.9,23,38.0,0.0,False,29,28.6,45.8,105.8,108.6,105.7,108.6,104.7,106.2,108.30000000000001
22000416,22,28.2,24.583333333333332,110.9,16,31.0,14.0,False,30,31.2,44.4,115.0,127.3,93.0,114.5,109.7,100.4,117.25
22000403,28,26.8,24.272727272727273,110.5,12,34.0,35.0,True,31,34.8,42.6,106.0,116.7,113.7,110.8,104.5,116.25,102.8
22000390,25,27.0,24.2,110.9,17,41.0,0.0,False,0,28.2,41.0,107.9,103.6,102.4,98.7,92.9,96.1,106.75
22000121,27,24.2,24.73913043478261,111.1,19,35.0,34.0,True,1,30.4,29.4,109.1,111.3,104.5,128.1,116.2,100.0,100.30000000000001
22000103,26,22.8,24.681818181818183,109.3,15,34.0,34.0,True,0,36.8,36.6,104.6,101.6,107.1,100.0,101.9,99.75,100.55
22000087,22,24.6,24.80952380952381,111.3,20,32.0,32.0,True,0,36.6,40.6,121.0,114.0,113.8,111.5,119.2,111.65,109.9
22000075,26,23.2,24.75,108.3,15,36.0,35.0,True,0,36.0,45.2,109.0,111.1,100.0,117.0,100.0,117.15,106.05
22000060,26,21.4,21.4,108.7,14,35.0,32.0,True,0,,,126.7,111.5,105.3,114.3,116.0,122.5,133.3
22001072,25,23.0,25.022727272727273,113.3,23,27.0,30.0,True,0,35.4,41.4,112.0,117.5,103.9,123.9,119.4,119.75,111.4
22100093,15,27.4,30.545454545454547,105.0,14,35.0,33.0,True,0,,,92.1,86.8,85.9,92.5,82.6,86.25,78.2
22100077,26,28.2,30.62962962962963,105.5,14,38.0,31.0,True,0,,,112.7,130.0,120.3,123.0,125.8,111.05,118.7
22100040,19,32.2,30.849056603773583,117.1,29,40.0,34.0,True,0,,,101.5,108.1,109.6,107.9,107.1,104.0,95.44999999999999
22100025,25,29.2,30.96153846153846,107.0,14,37.0,38.0,True,0,,,98.7,113.9,100.0,116.1,104.3,98.55,107.4
22100002,34,27.0,30.901960784313726,101.8,1,37.0,39.0,True,0,,,101.4,100.0,105.8,93.2,87.8,102.6,105.5
22100304,33,26.4,30.86,109.2,21,37.0,38.0,True,0,31.0,42.2,108.3,100.0,100.0,103.2,108.6,105.85,111.3
22100291,30,28.2,30.877551020408163,110.7,27,50.0,49.0,True,0,30.2,39.0,88.2,94.5,102.8,106.3,111.4,95.0,85.9
22100268,39,28.0,30.708333333333332,106.6,13,43.0,0.0,False,0,29.2,37.4,105.3,97.3,103.1,98.3,109.2,103.4,94.0
22100249,10,33.6,31.148936170212767,109.8,22,21.0,40.0,True,0,29.2,37.2,109.9,101.3,118.1,107.1,112.2,121.3,107.5
22100232,23,36.2,31.32608695652174,105.1,11,32.0,37.0,True,0,29.4,37.8,115.9,116.4,111.9,123.1,122.7,104.1,111.2
22100107,30,34.0,31.355555555555554,105.9,12,36.0,32.0,True,0,25.8,38.4,98.8,120.8,117.0,111.9,124.6,104.55,117.55
